gene	pLI
PIM1	8.4846e-01
CXorf23	6.2532e-01
INTS5	5.1350e-01
ERH	8.8774e-01
CYTH3	7.2252e-01
VAC14	1.8554e-01
MMS19	8.2883e-03
TAF2	2.5958e-03
KIAA1217	2.3185e-04
ITGA9	8.1584e-03
KLF9	8.8783e-01
KIAA0100	5.4421e-09
SHPRH	1.7017e-06
SEZ6L2	1.1743e-01
PARG	3.9209e-01
POU4F1	8.8762e-01
EZH1	4.2501e-02
SCYL3	2.8151e-01
ELMOD1	7.9258e-01
CNTNAP1	3.4450e-05
RP11-598P20.5	8.4599e-01
SLC6A17	5.0353e-01
EPHB4	1.3497e-02
PLEKHA6	1.3746e-02
DVL3	3.8544e-01
CD40	8.4603e-01
TAGAP	8.4621e-01
SLITRK4	7.9447e-01
OVOL1	8.7808e-01
LBR	1.8143e-01
RSL24D1	8.7838e-01
VAMP2	8.8736e-01
USP46	7.9135e-01
ACAP1	6.7617e-02
INPPL1	2.3313e-03
RPS13	8.7646e-01
RTN4RL2	8.7694e-01
ZBED5	7.1253e-01
SYNE1	3.1899e-52
TAB3	6.1714e-01
ZDHHC14	7.1510e-01
TOB2	8.8658e-01
SNX6	4.9898e-01
FZD8	7.8983e-01
ANP32E	8.4376e-01
CDH22	4.9990e-01
NOS1AP	6.1424e-01
VIM	7.1255e-01
RBPMS2	8.7683e-01
PRDM6	6.0835e-01
MAG	4.9228e-01
TRABD2B	8.4273e-01
SLC1A2	7.1036e-01
FBXO15	7.1072e-01
RUNX3	8.4295e-01
NEB	4.5589e-41
TASP1	6.0781e-01
HMGXB4	4.9435e-01
RPS12	8.8531e-01
EHF	7.0543e-01
KLB	3.6433e-02
MBNL1	7.0579e-01
CDC25B	3.6430e-01
STK31	6.6160e-03
STOX2	4.8409e-01
ZDHHC15	8.3968e-01
PDLIM7	7.0838e-01
FGR	4.8408e-01
ANKRD13B	3.6217e-01
DENR	8.7514e-01
TTLL7	3.5761e-03
VBP1	8.8445e-01
CERS2	4.7978e-01
MUC2	9.4330e-10
LRIG1	3.5031e-02
EPB41L5	2.0795e-02
TGFBRAP1	1.6510e-01
AKAP12	3.5666e-02
TBC1D15	6.1520e-02
SMPD3	5.9429e-01
RRAGB	8.3630e-01
LRRN2	7.8050e-01
SLC6A4	2.4602e-01
TBX1	8.3661e-01
ATP10A	1.8269e-03
PEG10	8.7274e-01
OSGIN2	5.9345e-01
RNF123	8.4689e-05
TMEM183A	7.0022e-01
CXorf65	8.8329e-01
KIF21B	1.7695e-06
AMOTL2	1.5515e-01
SORCS2	3.1696e-03
LRTM2	8.7153e-01
ANKRD13D	3.4912e-01
NSG2	8.8363e-01
SIX4	6.9464e-01
PRDM8	7.7626e-01
IGF2BP2	2.3861e-01
GRHL1	2.3950e-01
ARFIP2	7.7422e-01
DUSP10	8.3350e-01
GRIA4	1.8310e-02
MPP5	2.3510e-01
NIN	9.6335e-09
POU3F3	8.8278e-01
BAIAP2	4.6155e-01
HM13	6.8958e-01
TANC1	2.1625e-05
RPL13A	8.3336e-01
SNCA	8.8290e-01
KIF14	4.1141e-05
TROVE2	5.8278e-01
ATP6AP2	8.7089e-01
C4BPA	4.5739e-01
CFP	6.8778e-01
IRS4	5.7796e-01
CCDC6	5.7714e-01
CTTN	8.9176e-02
CLK3	2.3000e-01
CDH1	1.4631e-01
ZFP82	5.7889e-01
UTRN	1.0021e-19
MYO1B	7.2357e-05
PDE1B	3.3646e-01
NFKBIE	7.7098e-01
UBE2N	8.8156e-01
MTDH	3.2924e-01
ADAMTS16	4.4629e-04
KLF3	8.2960e-01
MYNN	5.7129e-01
ABHD2	6.8151e-01
ARHGAP20	2.9187e-02
ZFP62	5.7542e-01
NOL10	5.0667e-02
FAT1	1.1969e-12
PPP1R12C	8.6713e-02
AP4E1	2.7529e-03
ENPP2	2.7913e-03
RPA1	8.7770e-02
CCNI	8.2718e-01
RBMX	8.2878e-01
TAF10	8.8076e-01
FGB	5.6616e-01
HMG20A	6.7769e-01
HNRNPAB	7.6526e-01
EMC7	8.6665e-01
SERTAD2	8.8080e-01
BACH1	5.7072e-01
DCUN1D3	8.6660e-01
DET1	6.7903e-01
EIF2B3	5.6695e-01
TP53BP2	2.5482e-03
CPD	7.4113e-04
PITPNM1	1.3838e-03
CHTOP	7.6399e-01
SLC1A6	7.6237e-01
SLC6A14	5.6419e-01
GTPBP2	3.1663e-01
ARAP3	1.6470e-05
TMEM87A	8.1488e-02
TIAM2	3.2439e-05
CMAS	5.6141e-01
WWC1	3.9438e-04
PML	2.1291e-01
RPS9	8.7956e-01
SIRPA	6.7197e-01
TMEM11	8.7922e-01
MAN1C1	2.0933e-01
ACOT7	7.5926e-01
EXOC3L2	7.6039e-01
GUCY1A2	3.1409e-01
KIAA1671	8.2380e-01
SPATS2L	5.5833e-01
PAX2	6.6999e-01
COBLL1	4.6671e-02
FAR2	5.5963e-01
MACROD2	4.3472e-01
RP11-343C2.11	7.6034e-01
PREP	8.0250e-02
ATG2B	1.0208e-08
BIRC2	4.2708e-01
AGRN	5.4727e-07
NEDD9	1.2634e-01
THOC5	4.5294e-02
ABCD3	7.8364e-03
H2AFZ	8.7861e-01
CRADD	8.7862e-01
PLXNA2	1.0768e-06
CASD1	4.4844e-02
PC	1.3834e-02
CADPS	1.4707e-05
CHAF1B	4.2768e-01
GPR137	6.6798e-01
MAP1S	4.1970e-01
RNF146	8.1992e-01
EFR3B	2.4122e-02
SORL1	7.6609e-11
RRAGD	8.1991e-01
GAREM	1.9888e-01
KLHL22	4.2419e-01
SUV420H2	5.4685e-01
PHYHIPL	8.2096e-01
KLHL4	6.6283e-01
TPCN1	3.9780e-03
CADM1	6.6216e-01
INTS12	7.5370e-01
ZFYVE1	1.9867e-01
TBC1D22A	4.1937e-01
KCNIP4	8.2064e-01
SKOR2	7.5359e-01
TBX15	6.5773e-01
FOXL2	8.7762e-01
LIMD1	4.1673e-01
KLF5	8.1810e-01
ANO4	3.2204e-04
MYBL2	1.2226e-01
KPNA2	5.4133e-01
APLP1	1.2235e-01
QKI	7.5121e-01
AXL	1.2951e-02
CNTN2	2.1095e-03
GPBP1	4.1644e-01
GLP1R	2.9347e-01
NFIL3	8.1979e-01
MMS22L	8.3003e-05
RBM42	7.4791e-01
RUNX1	6.5377e-01
SLC41A1	6.5493e-01
EMC4	8.6097e-01
RNF139	5.3807e-01
TMED10	8.6011e-01
PDXK	7.4906e-01
TNFSF13	8.1724e-01
CTD-2545M3.6	6.5359e-01
KSR1	6.9796e-02
GLCE	6.5444e-01
DRD2	7.4709e-01
ADAP1	5.3330e-01
ARPP21	1.2016e-02
RRP9	2.8533e-01
SALL3	4.0326e-01
PSENEN	8.7614e-01
MTCH1	6.5106e-01
KATNAL1	5.3169e-01
SEC31A	7.8773e-05
PHYHIP	8.5981e-01
DNER	1.8590e-01
GAB1	1.8433e-01
PRKCI	6.7986e-02
SOX11	8.5844e-01
PNN	1.1262e-01
VPS33A	1.8206e-01
SASH1	1.8020e-03
APBB2	6.5197e-02
EZR	1.7989e-01
VEZT	1.1018e-01
CSF2RB	1.7646e-01
RHOQ	8.5702e-01
SRP14	8.7497e-01
RIPK2	3.9282e-01
SEMA7A	1.7976e-01
EIF2B5	6.4171e-02
FAS	8.1170e-01
KRT5	6.4172e-01
EPT1	6.4206e-01
AKAP10	1.0782e-01
PRPF6	3.2101e-03
MCTS1	8.7474e-01
DOCK5	2.8994e-09
SSR4	8.7499e-01
NELFCD	1.7607e-01
TIA1	2.7493e-01
ARHGAP17	1.9749e-02
ADCY6	5.8268e-03
ENY2	8.7471e-01
MYO1E	6.7690e-05
KCNH5	1.9692e-02
KCTD1	8.5538e-01
TUBB4B	8.0877e-01
SULF2	1.0585e-02
PEAK1	8.6831e-04
FRMD3	2.7023e-01
GPR173	8.7422e-01
ARHGEF10L	4.7308e-04
STS	8.0886e-01
CEP68	5.1822e-01
SLCO3A1	3.8961e-01
KRT18	7.3477e-01
GCK	6.3464e-01
NSMF	2.6482e-01
PLG	1.0345e-02
CD163	8.3380e-04
OTX1	8.5508e-01
PPP3CC	2.6374e-01
COX5B	8.7383e-01
ZNF473	2.6241e-01
TNFRSF14	8.0752e-01
FLNB	6.0505e-10
ITGAV	2.2844e-04
RUNDC3A	6.3623e-01
ATP2B4	1.5112e-03
RPL10A	8.5357e-01
DMRTC2	7.3104e-01
ZNF507	5.7483e-02
LIN7B	8.5352e-01
RSBN1	9.9107e-02
IL1RAP	2.5846e-01
ARRB2	5.0658e-01
FSTL4	1.7889e-02
OSBPL7	2.8675e-03
GTF3C4	2.5920e-01
FADS1	3.7384e-01
BRIX1	7.2803e-01
MAMLD1	6.2647e-01
PPIE	7.2832e-01
RAD17	5.6900e-02
EMC8	8.5233e-01
SNTG1	1.6340e-01
PSD3	9.4778e-03
LSM6	8.7273e-01
TNC	1.2592e-07
UBXN1	7.2752e-01
SERPINE2	7.2990e-01
DENND4C	3.9761e-06
RPS6KA2	9.4073e-03
SSBP4	3.7022e-01
EIF2AK3	2.7603e-03
METTL9	8.0352e-01
CSRNP3	5.0018e-01
TBX4	5.0480e-01
CASS4	3.6682e-01
EHMT2	1.0292e-04
FAM222A	8.5124e-01
KATNBL1	7.2545e-01
ASCC2	3.1027e-02
NDRG3	3.6564e-01
KIAA1210	9.1034e-03
FAM129B	1.6975e-02
ATCAY	6.2076e-01
DCBLD2	9.5418e-02
PFKFB3	2.4579e-01
UBR7	4.9449e-01
ALDH1A2	3.6331e-01
TCF7L1	3.6022e-01
NFATC1	1.5652e-01
BAG3	6.1738e-01
RASGRP2	2.4360e-01
RP11-599B13.6	8.7139e-01
TYMS	7.2247e-01
FXYD6-FXYD2	8.5025e-01
EGLN2	7.2166e-01
TMEM200A	8.5062e-01
FBXO30	3.5835e-01
HCN2	4.8885e-01
BMS1	1.7530e-04
SAT1	8.7060e-01
UBQLN2	8.4968e-01
YME1L1	2.8988e-02
NUP133	9.2587e-05
PTDSS1	1.5093e-01
TSPYL5	8.4935e-01
ALK	3.2299e-06
PHLDA1	7.9833e-01
MTHFD1	4.4614e-03
CPNE6	1.5298e-01
CACNA1F	1.2337e-05
CDIP1	8.7001e-01
NMT2	2.3627e-01
ZKSCAN5	8.7589e-02
SOGA2	8.8340e-05
PLCB4	3.0437e-06
ZNF410	3.5337e-01
DESI2	8.4830e-01
DLST	4.8474e-01
HMGA2	8.7015e-01
ARHGAP39	8.1913e-03
MAPKAPK5	3.5435e-01
NLRC5	9.4211e-08
RALBP1	1.4667e-01
HOXB8	8.4752e-01
CMPK1	8.4789e-01
KIAA0319L	1.2186e-03
CARD10	2.2648e-03
NR5A2	2.3807e-01
RGL2	2.6981e-02
APH1A	7.9479e-01
SREBF1	1.4708e-02
TGIF2-C20orf24	8.4676e-01
LIG1	4.2142e-03
RPS2	8.4690e-01
ICMT	7.9377e-01
CYR61	7.1388e-01
FOXF2	8.4666e-01
IRF9	6.0773e-01
BRINP3	1.4554e-01
CTD-2207O23.3	4.1543e-03
KIAA1033	2.7872e-06
EYA4	4.8720e-02
SUMO2	8.6943e-01
CASR	4.6698e-02
PRR7	8.6893e-01
CNIH3	8.4533e-01
PTPRG	5.0736e-06
SYT1	6.0038e-01
IRF2BP2	8.4558e-01
KIF3B	8.4213e-02
ZFAND5	8.4575e-01
IER5	8.6869e-01
DDX39A	6.0151e-01
DDX18	1.3804e-01
LUC7L	4.6952e-01
SRP68	4.5673e-02
C1orf51	7.9141e-01
CNOT11	5.9693e-01
N4BP2L1	8.4460e-01
EPM2AIP1	5.9998e-01
TRPM6	2.7190e-10
SOST	8.6731e-01
EML6	4.0925e-09
INSR	3.6145e-05
PLXDC2	1.3416e-01
UBE2G1	8.4382e-01
ALG5	4.6347e-01
RBCK1	1.3497e-01
POLR3E	1.3199e-02
TRPM3	5.6853e-07
PLEKHF2	8.6733e-01
PACSIN2	2.1345e-01
TSN	7.8659e-01
ZNF444	8.6670e-01
CCDC88C	3.3027e-08
THRA	3.2748e-01
ACVR1	3.2540e-01
SNX30	5.8843e-01
CDH18	2.1478e-01
AP1S2	8.6702e-01
AKNA	1.2945e-04
NUP54	2.1559e-01
ADSS	3.2971e-01
NCKAP5	8.4671e-06
CCP110	6.6760e-03
SUGT1	4.5272e-01
EPS15	3.4774e-03
CAAP1	7.8449e-01
ARHGEF18	1.7747e-03
RBMS3	2.1280e-01
EML4	4.8242e-04
PCMT1	7.8453e-01
SPIRE1	4.2486e-02
PHF5A	8.6605e-01
ZFYVE20	2.2662e-02
PRDM15	8.2172e-06
KIF21A	2.8650e-08
USPL1	2.1819e-02
BMP1	8.8564e-04
RCOR2	2.0710e-01
TRAF7	2.1819e-02
BTRC	1.1942e-02
PCDH18	1.2675e-01
ZFYVE28	7.2340e-02
EPG5	1.3508e-13
HGS	6.3571e-03
RYR1	1.5944e-29
SRSF5	6.9255e-01
ZNF579	8.3882e-01
COPE	6.9249e-01
ITFG1	7.1163e-02
NAT8L	8.6458e-01
FAM122B	8.3835e-01
GDPD2	3.1473e-01
TSPAN12	6.9473e-01
NFX1	1.1474e-04
FBXO31	4.4439e-01
FBXO46	6.9428e-01
TBC1D14	3.9267e-02
LANCL2	3.1280e-01
RPL21	8.3747e-01
SHANK2	8.4299e-07
IKZF5	7.7960e-01
HMG20B	6.9112e-01
ZNF395	3.0888e-01
VPS8	5.1131e-08
KIAA1598	3.8600e-02
RUFY3	2.0593e-02
SIM2	1.9959e-01
DLK2	7.7915e-01
HMGN2	8.6341e-01
CSPG4	2.6212e-05
SYT13	6.8807e-01
GULP1	6.8714e-01
SLC30A5	6.8068e-02
KIFC3	5.6474e-03
RPS25	8.6346e-01
GPR61	7.7771e-01
RASGRP4	3.7579e-02
RPN2	1.1487e-01
OSR1	8.6296e-01
SLC9C2	1.9485e-04
NAB2	5.6734e-01
ZDBF2	1.0294e-02
UXT	8.6302e-01
CA10	5.6746e-01
ABI2	4.3122e-01
JUNB	8.6299e-01
MYBPC1	4.8350e-05
C10orf118	1.3961e-03
PI4KA	3.1234e-12
ANAPC4	6.9453e-04
PLCE1	5.6754e-11
RXRG	4.2421e-01
RCAN2	8.3475e-01
SLC35A1	6.8262e-01
PRDM13	5.6307e-01
ABCG1	1.1182e-01
PRKD3	5.2882e-03
APOB	1.9234e-16
SULF1	1.3751e-03
RAPGEFL1	2.9662e-01
ELAVL3	7.7072e-01
MAN1A1	1.1123e-01
TRIB1	8.3343e-01
WSB1	4.2292e-01
ACOX1	6.2095e-02
MVB12B	5.5867e-01
SEMA6B	6.2270e-02
NRG3	1.0947e-01
SPATA13	2.6387e-03
FGD4	9.8247e-03
ELOVL1	6.7897e-01
LRFN5	5.5863e-01
MAX	8.3350e-01
PTPN9	1.0956e-01
ESF1	1.7818e-02
EDEM3	2.4686e-03
SLC38A9	2.8628e-01
UTP20	3.0008e-15
TTK	1.2734e-03
PDGFB	7.7006e-01
LONRF3	4.1779e-01
CHST1	7.6863e-01
GAS2L1	8.3227e-01
SUMO1	8.6128e-01
GSG1L	7.6760e-01
POLDIP2	4.1407e-01
APAF1	9.6242e-06
NRN1	8.6020e-01
FAM126B	1.7863e-01
IKBKE	9.0053e-03
SUPV3L1	3.2006e-02
TRIM26	1.7836e-01
ABTB2	4.6627e-03
ODF2	1.2405e-03
RPLP0	7.6762e-01
FRS3	5.5047e-01
HS2ST1	5.4475e-01
SLC39A8	6.6924e-01
SORCS3	3.7354e-05
GDF5	6.7002e-01
ABLIM2	4.5858e-03
ATG14	1.7435e-01
PARVA	4.0854e-01
PGK1	7.6537e-01
MGRN1	1.0393e-01
RP11-1220K2.2	4.1039e-01
ZNF449	6.6997e-01
RPS23	8.5944e-01
DMRTB1	8.2857e-01
WDR36	5.7240e-04
C1GALT1	7.6313e-01
HELZ2	1.3364e-08
LRRC16B	1.2106e-07
SMARCD3	4.0464e-01
MAPK10	2.7553e-01
SOCS5	5.4156e-01
TOMM40L	6.6713e-01
PER1	2.9308e-04
ARMC1	7.6284e-01
C10orf54	7.6097e-01
DACT1	4.0017e-01
TBKBP1	2.7032e-01
WASF3	5.4018e-01
SBF2	6.3771e-10
RAC1	7.6228e-01
MEST	3.9908e-01
SNRPD3	8.5838e-01
GPR158	5.5056e-04
PRR14	1.6859e-01
PLEKHM1	8.1382e-03
BCAS3	1.3819e-04
ATP11A	4.0487e-06
TMEFF1	5.3799e-01
SMOX	3.9964e-01
DCLRE1B	5.3912e-01
EYA2	9.7959e-02
GPR126	6.6088e-05
THAP11	8.2624e-01
MCRS1	1.6561e-01
AKAP8L	2.8839e-02
BRE	1.6651e-01
KIF26A	5.1939e-04
ADIPOR1	6.5840e-01
SLC17A6	1.6199e-01
PHB	7.5880e-01
IQSEC3	3.8704e-03
FBXL14	8.2537e-01
MGAT5B	1.4591e-02
TP53	5.3235e-01
COBL	3.9121e-03
INO80B	7.5864e-01
ZNF282	1.6317e-01
CAMKK2	9.1625e-02
ZNF805	3.8637e-01
NPRL2	3.8813e-01
PPP1R12B	1.2038e-04
PGR	5.1042e-02
RILPL1	3.8572e-01
ZNF691	8.2372e-01
CCNL2	1.6094e-01
ZNF385D	6.5437e-01
AMOTL1	1.8316e-03
SMG8	7.2559e-03
SOX12	8.5589e-01
ATF7IP2	1.5781e-01
KCNT1	2.7613e-05
HID1	2.6841e-02
RANBP1	8.2235e-01
CYTH2	2.5494e-01
FZD2	6.5266e-01
DKK2	7.5318e-01
TBC1D25	5.2262e-01
SWAP70	4.9628e-02
ENO2	3.8396e-01
ZNF526	5.2316e-01
RAB1A	8.2305e-01
PIH1D3	8.5529e-01
IMMT	1.3300e-02
ITPKA	6.4926e-01
ITPKC	1.5241e-01
SOX14	8.5558e-01
FSD1	2.5199e-01
CWC22	8.9920e-04
ARID3B	3.8022e-01
AMMECR1	8.2117e-01
RING1	6.4854e-01
KAT5	8.8234e-02
ABCB1	1.2564e-05
ERGIC1	6.4747e-01
ZNF274	1.4989e-01
BATF	8.5462e-01
CCDC85C	7.5010e-01
MAPK14	3.7466e-01
TMX2	6.4745e-01
CPNE4	8.5866e-02
NR1H2	3.7506e-01
LHX8	5.1572e-01
TRPC1	1.2904e-02
HMGB1	8.2035e-01
RNF19A	2.5305e-02
MLXIPL	4.7771e-02
PDIA6	2.4911e-01
LRRC37B	6.4058e-03
LTBP1	3.7191e-09
ITGA4	1.0067e-04
ZFPM1	2.4290e-01
GAD1	4.6164e-02
RPH3A	1.6609e-03
NR4A1	3.7074e-01
CAMK4	5.0957e-01
PTPRE	8.1616e-04
PTPRO	1.1875e-05
TSKU	8.5418e-01
RFX6	4.0925e-04
SLC26A9	1.2733e-02
SHISA7	8.5388e-01
DCAF8L2	8.1931e-01
SPOCK2	2.4144e-01
ACSL6	3.2201e-03
FREM2	3.5958e-11
KANK2	4.4954e-02
RPN1	2.3900e-01
PNPT1	4.0072e-04
UBXN4	1.4569e-01
PAX3	2.4063e-01
WBP1L	6.4011e-01
CREM	5.0878e-01
NRP2	8.0686e-04
FAU	8.5252e-01
CHIC1	8.5254e-01
GREB1	6.6023e-09
GOLT1B	8.5264e-01
INTS1	7.1069e-11
TNFRSF1B	5.0201e-01
SLC6A2	8.1524e-02
PPP1R9A	1.0812e-05
PBX3	3.6301e-01
E4F1	8.0072e-02
ACSL1	1.5324e-03
PLCL1	1.2059e-02
CSGALNACT2	2.3766e-01
FRMPD3	1.9028e-04
KIF18A	1.4835e-03
KIAA1462	2.9966e-03
DOCK8	1.4870e-11
MYLK2	2.3336e-01
TMEM248	7.4220e-01
ATF1	6.3426e-01
DDN	3.5900e-01
FOXA2	7.4225e-01
GLRX3	3.5753e-01
EPB41L3	4.3188e-05
TMTC2	2.2549e-02
KIAA0513	2.3471e-01
FSD1L	2.3386e-01
VDAC2	6.3412e-01
OTUD7B	1.1339e-02
ABCA12	2.9220e-15
MAP7D2	4.1409e-02
VPS4B	2.3026e-01
C1GALT1C1	8.5158e-01
FOXN2	4.9701e-01
VEGFC	4.9565e-01
LPCAT1	1.3713e-01
PRICKLE3	6.3198e-01
PRKAA1	1.3725e-01
ABCF2	1.1301e-02
DNAH1	1.4983e-26
PXK	1.0847e-02
EXOC1	6.9012e-04
H2AFY	7.3705e-01
FOXO4	8.1332e-01
CHKA	2.2747e-01
PITX3	8.1276e-01
RAP2A	8.5068e-01
FEM1C	6.2927e-01
DMRT1	7.3870e-01
FAM155B	8.1284e-01
MAP3K11	1.0875e-02
SLC16A12	4.9267e-01
ATE1	4.0639e-02
PRKACB	3.5122e-01
ZDHHC9	7.3749e-01
PARP1	3.3366e-04
FBXO18	8.2171e-05
KAT8	2.2493e-01
ZNF804A	5.5255e-03
PRR19	8.1244e-01
RND1	7.3701e-01
DNAJC5	8.1216e-01
RPL27	8.5027e-01
NPTX1	6.2501e-01
PTHLH	8.1146e-01
MMP15	7.3354e-02
ACTC1	7.3668e-01
CREB5	2.2337e-01
TSG101	3.4407e-01
USP20	7.2852e-05
MSL2	6.2406e-01
OSBPL2	1.3102e-01
TNKS2	3.6661e-05
NEDD8	8.4938e-01
PLEKHO1	4.8341e-01
RPL31	8.4958e-01
CEP57	7.2685e-02
SMC4	1.6800e-05
FAM76B	3.4062e-01
ING5	6.1851e-01
ABCC9	9.3524e-09
STX16	4.8261e-01
BLMH	1.2878e-01
TDRD7	6.1106e-04
RPS6KC1	1.2570e-03
DTX4	2.1699e-01
DNM3	2.4197e-03
HMCN1	3.6259e-38
GRN	6.9666e-02
PCDHGC3	1.2536e-01
SGSM1	1.5957e-05
ING2	7.2928e-01
C17orf75	3.3668e-01
PDGFA	8.0842e-01
ZBTB5	6.1772e-01
SLC39A9	7.2946e-01
RPS26	8.4833e-01
TMOD1	4.7845e-01
MARCH9	7.3089e-01
SEMA5A	1.5403e-05
NPR1	2.9303e-04
HECA	6.1493e-01
GIGYF1	3.4196e-06
VPS13A	9.3125e-22
VPS26A	6.1411e-01
RBM46	4.7301e-01
SLC20A1	6.7227e-02
CDK2	6.1054e-01
ZNF248	3.2621e-01
FAM126A	1.2103e-01
B3GNT5	7.2579e-01
HK2	4.5893e-03
TAZ	7.2591e-01
CNTN5	6.1963e-05
PRKAB2	7.2559e-01
TPT1	8.0548e-01
ASF1A	8.0542e-01
PAPPA2	7.7879e-08
PFDN1	8.4732e-01
GRM2	1.2019e-01
STARD7	4.7179e-01
RNF34	6.1057e-01
PDE9A	4.5595e-03
TARBP2	4.6644e-01
ABCA1	1.4525e-13
RBMS1	1.1929e-01
TADA2B	7.2366e-01
MSANTD1	8.0456e-01
REPS2	2.0309e-01
NPC1	6.5418e-06
SMC5	3.1326e-06
DENND1B	2.0408e-01
TLR8	3.2401e-01
GAS6	3.4477e-02
MROH1	2.0264e-01
COPS8	7.2485e-01
STK32C	2.0408e-01
GJB1	8.4627e-01
RPL30	8.4674e-01
TNF	8.0330e-01
UCK2	7.2131e-01
RNF121	3.1902e-01
KLHL11	2.0133e-01
TBC1D9	2.8039e-05
AFAP1L2	2.1581e-03
WBSCR17	1.1671e-01
ZNF624	3.2471e-02
FAM91A1	2.4063e-04
COPS7B	6.0071e-01
HAPLN1	6.0242e-01
GPBP1L1	1.9902e-01
SH3PXD2B	4.1589e-03
ENC1	4.6008e-01
GALNT2	8.4175e-03
NETO2	6.2704e-02
STT3A	2.0450e-03
PPP1R13L	3.2060e-02
KIAA1731	2.3569e-13
CNN3	5.9852e-01
PIK3R2	1.6273e-02
PPP4C	4.5540e-01
VKORC1L1	8.4443e-01
PSMA4	5.9959e-01
MYCBP	8.4451e-01
THAP1	8.0123e-01
FAM20C	3.1465e-01
SMC6	2.6590e-06
NCAPD3	5.8210e-09
MAPRE3	7.1561e-01
ESRRA	5.9696e-01
ALAS1	1.0979e-01
RNF4	7.9973e-01
PDP1	4.5106e-01
NPTXR	7.1597e-01
SYT9	3.0911e-01
E2F4	4.5258e-01
PEX5L	7.9927e-03
NFYC	1.0847e-01
UGGT1	5.1934e-10
RIMKLB	5.9273e-01
MCM3AP	5.2400e-09
LRRTM1	5.9450e-01
ARMC5	1.0750e-01
CACNB4	3.0679e-02
NPRL3	1.9021e-01
ITSN2	9.7511e-13
LTBR	3.0580e-01
NUDCD3	4.4788e-01
SPTA1	2.6001e-18
ARC	5.9433e-01
RENBP	4.4916e-01
CXorf21	8.4298e-01
NUDT4	7.9724e-01
MAGOH	7.9740e-01
ATXN3	1.0575e-01
WARS	3.0288e-01
UBE2M	7.9769e-01
ABCC4	1.0674e-07
ARSE	5.8982e-01
UNC5C	8.8130e-04
KHDRBS3	4.4237e-01
DENND6A	1.7721e-03
MCTP1	9.3096e-05
PSMC4	3.0101e-01
TBCD	1.0032e-07
SPECC1	8.6772e-04
LRRK1	4.5228e-10
GRINA	4.4203e-01
ZNF207	1.0460e-01
CRYBG3	9.2709e-05
CXorf30	7.1001e-01
C7orf43	1.8133e-01
CNKSR3	2.8166e-02
DNAJB12	4.4012e-01
WNT5B	5.8535e-01
GLTSCR2	1.8147e-01
HS3ST4	7.9575e-01
GAREML	4.3898e-01
UST	4.3933e-01
CTD-2116N17.1	1.0265e-01
FAM69A	5.8405e-01
SNAI2	7.9531e-01
CARS	4.0314e-04
CCNYL1	5.8564e-01
SRP72	1.7104e-03
TMCC2	2.9466e-01
YAF2	7.9482e-01
SNRPB	7.0858e-01
UBE2J1	4.3658e-01
DHX8	9.1546e-07
B3GNT7	7.0639e-01
SRPK3	2.9235e-01
ZBTB8OS	7.0542e-01
ATP1A2	1.8093e-04
GGH	5.8132e-01
PWWP2B	8.4090e-01
ST3GAL1	5.8269e-01
EIF4E2	5.8161e-01
NPR2	4.2042e-05
KLHL14	5.3500e-02
FRMD6	2.7916e-02
TMEM115	7.9454e-01
VPS52	3.8938e-04
AKIRIN1	7.9347e-01
NETO1	5.2622e-02
DAXX	9.8633e-02
ITM2C	7.0418e-01
DTL	3.3019e-03
MID2	1.7550e-01
GRB14	5.3089e-02
NUAK1	9.8693e-02
IL2RB	2.9095e-01
SEPT2	2.8815e-01
PKD2	1.7271e-04
RPL17-C18orf32	5.7502e-01
RHOBTB2	1.3306e-02
PAX1	7.0019e-01
DUSP8	6.9975e-01
TCF3	2.5824e-02
ZNF768	4.2411e-01
ZHX3	5.0815e-02
TENC1	3.7043e-07
DCAF11	6.3315e-03
PGM2L1	2.5910e-02
CCNT1	5.1092e-02
MSH6	3.6705e-05
TGFBR3	3.0577e-03
ANKH	2.7856e-01
ZNF250	2.7830e-01
KRIT1	6.9333e-04
UBE2L3	8.3844e-01
PQBP1	7.8935e-01
TM4SF2	7.8986e-01
KIAA1467	2.5269e-02
SIAH1	6.9866e-01
YWHAQ	6.9755e-01
TIMP2	7.8893e-01
GPR137C	4.2259e-01
APLNR	7.8907e-01
PWP2	6.9944e-04
PCSK5	2.5352e-12
TBC1D22B	2.5486e-02
MACROD1	5.6909e-01
SNIP1	4.2167e-01
RNF113B	7.8928e-01
CCDC117	7.8769e-01
TEX2	1.4978e-04
ZNF689	4.1789e-01
ELMOD2	4.1822e-01
LPPR1	5.6614e-01
STARD8	2.4522e-02
ZNF358	7.8754e-01
GAN	2.4842e-02
RUFY2	6.7843e-04
THAP4	2.7636e-01
ARHGEF40	6.6277e-09
CBFA2T3	4.8373e-02
LAG3	2.7623e-01
MNX1	7.8819e-01
VGF	5.6825e-01
GARNL3	6.8913e-06
MED23	3.1015e-08
ZNF566	4.1475e-01
ZNF335	6.8885e-07
ADAM19	6.8000e-05
CDC42	7.8728e-01
ABCA3	6.6226e-08
GET4	5.6164e-01
AP2S1	7.8518e-01
RNF44	2.7044e-01
DUSP16	8.8867e-02
ATL2	1.1822e-02
CD79A	6.9226e-01
PCNP	7.8553e-01
VPS36	4.6442e-02
NOS3	6.7246e-07
TMF1	1.4543e-05
GRAMD1A	1.3146e-03
